"Filtros aplicados:
Status é REVISADO
SYSTEM_Area é FORMULAÇÕES",,,
,,,
Próximo Produto,Média de NumMinAmostras,Média de NumRealAmostras,Média de NumMaxAmostras
MUNEO,7,0,21
MELYRA,7,5,20
ORKESTRA,6,5,18
ABACUS,5,4,17
BELYAN,5,4,15
MIBELYA,5,4,15
ACRONIS,5,4,13
PIRATE,5,4,14
BLAVITY,5,4,13
CEVYA,4,4,13
NOMOLT,4,3,15
ALLEGRO,4,4,12
FASTAC DUO,4,4,12
FENDONA,4,4,12
FORUM PLUS,4,4,14
KEYRA,4,5,17
OPERA,4,4,12
STROBY SC,4,4,12
TENOPA,4,4,12
VERISMO,4,4,11
ZAMPRO,4,3,11
IMUNIT,4,4,11
FASTAC 100 SC,4,3,10
OPERA ULTRA,3,2,7
FASTAC CE,2,2,6
ATIVUM,2,2,6
VERSATILIS,2,2,6
CARAMBA 90,2,2,6
COMET,2,2,6
EFFICON,2,2,6
DASH HC,1,1,2
DORMEX,1,1,2
DRIVER,1,1,2
MESS,1,1,2
PIX HC,1,1,2
