"Filtros aplicados:
Status é REVISADO
SYSTEM_Area é FORMULAÇÕES",,,
,,,
Próximo Produto,Parte A,Parte B,Total
OPERA ULTRA,28191,28985,36057
MUNEO,22009,22009,25162
CEVYA,17774,7214,19153
FENDONA,14890,20392,26817
ORKESTRA,13710,13267,18839
FASTAC DUO,13490,16638,16940
PIRATE,12621,16384,20715
NOMOLT,12464,14181,20288
BLAVITY,12144,13902,20748
BELYAN,11183,15313,23206
DRIVER,11142,9074,11819
TENOPA,9507,12064,17761
MIBELYA,9479,9389,18041
DASH HC,9060,9960,12561
MELYRA,8831,9683,13457
KEYRA,8772,10482,16353
DORMEX,8372,5889,9026
ALLEGRO,8327,7670,12428
EFFICON,8101,11052,12515
VERSATILIS,7901,8322,11127
PIX HC,7238,6808,8636
MESS,7114,6944,7066
ATIVUM,7032,8382,11099
VERISMO,6970,3188,10996
OPERA,6935,7940,13277
ACRONIS,6758,3875,11363
COMET,6181,5710,9402
ZAMPRO,5669,5240,10750
ABACUS,4786,5022,11826
FASTAC 100 SC,4633,5175,10958
FASTAC CE,4435,5694,10027
CARAMBA 90,4030,4099,7617
FORUM PLUS,3901,3877,9670
IMUNIT,3535,3429,9387
STROBY SC,24,14,9189
